season_id,season_name,season_year,season_url,candidate_name,gender_raw,age_raw,profession_raw,final_position_raw,final_exit_order,final_exit_order_normalized,departure_day_raw,departure_description_raw,departure_type_normalized,departure_category,departure_model_category,departure_classification_reason,needs_departure_enrichment,departure_is_definitive,returned_to_game,first_exit_order,second_exit_order,returned_after_medical_replacement,same_day_exit_group,exit_order_ambiguity,exit_order_review_required,analysis_exit_order,analysis_exit_rule,all_cause_exit_event,censored_at_end,source_row_number,scraped_at
KL08,Koh-Lanta : Caramoan,2008,https://en.wikipedia.org/wiki/Koh-Lanta:_Caramoan,Mingao,,,,Day 3,1,0.0,Day 3,Day 3,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Mécanisme de sortie non identifiable,True,True,False,1,,False,,False,False,1,STANDARD,1,False,1,2026-07-20T22:39:04.698262+00:00
KL08,Koh-Lanta : Caramoan,2008,https://en.wikipedia.org/wiki/Koh-Lanta:_Caramoan,43,,,,Day 4,2,0.055556,Day 4,Day 4,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Mécanisme de sortie non identifiable,True,True,False,2,,False,,False,False,2,STANDARD,1,False,2,2026-07-20T22:39:04.698262+00:00
KL08,Koh-Lanta : Caramoan,2008,https://en.wikipedia.org/wiki/Koh-Lanta:_Caramoan,24,,,,Day 5,3,0.111111,Day 5,Day 5,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Mécanisme de sortie non identifiable,True,True,False,3,,False,,False,False,3,STANDARD,1,False,3,2026-07-20T22:39:04.698262+00:00
KL08,Koh-Lanta : Caramoan,2008,https://en.wikipedia.org/wiki/Koh-Lanta:_Caramoan,23,,,,Day 6,4,0.166667,Day 6,Day 6,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Mécanisme de sortie non identifiable,True,True,False,4,,False,,False,False,4,STANDARD,1,False,4,2026-07-20T22:39:04.698262+00:00
KL08,Koh-Lanta : Caramoan,2008,https://en.wikipedia.org/wiki/Koh-Lanta:_Caramoan,33,,,,Day 9,5,0.222222,Day 9,Day 9,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Mécanisme de sortie non identifiable,True,True,False,5,,False,,False,False,5,STANDARD,1,False,5,2026-07-20T22:39:04.698262+00:00
KL08,Koh-Lanta : Caramoan,2008,https://en.wikipedia.org/wiki/Koh-Lanta:_Caramoan,21,,,,Day 12,6,0.277778,Day 12,Day 12,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Mécanisme de sortie non identifiable,True,True,False,6,,False,,False,False,6,STANDARD,1,False,6,2026-07-20T22:39:04.698262+00:00
KL08,Koh-Lanta : Caramoan,2008,https://en.wikipedia.org/wiki/Koh-Lanta:_Caramoan,41,,,,Day 15,7,0.333333,Day 15,Day 15,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Mécanisme de sortie non identifiable,True,True,False,7,,False,,False,False,7,STANDARD,1,False,7,2026-07-20T22:39:04.698262+00:00
KL08,Koh-Lanta : Caramoan,2008,https://en.wikipedia.org/wiki/Koh-Lanta:_Caramoan,40,,,,Day 18,8,0.388889,Day 18,Day 18,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Mécanisme de sortie non identifiable,True,True,False,8,,False,,False,False,8,STANDARD,1,False,8,2026-07-20T22:39:04.698262+00:00
KL08,Koh-Lanta : Caramoan,2008,https://en.wikipedia.org/wiki/Koh-Lanta:_Caramoan,7th voted out,,,,Day 21,9,0.444444,Day 21,Day 21,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Mécanisme de sortie non identifiable,True,True,False,9,,False,,False,False,9,STANDARD,1,False,9,2026-07-20T22:39:04.698262+00:00
KL08,Koh-Lanta : Caramoan,2008,https://en.wikipedia.org/wiki/Koh-Lanta:_Caramoan,25,,,,Day 22,10,0.5,Day 22,Day 22,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Mécanisme de sortie non identifiable,True,True,False,10,,False,,False,False,10,STANDARD,1,False,10,2026-07-20T22:39:04.698262+00:00
