season_id,season_name,season_year,season_url,candidate_name,gender_raw,age_raw,profession_raw,final_position_raw,final_exit_order,final_exit_order_normalized,departure_day_raw,departure_description_raw,departure_type_normalized,departure_category,departure_model_category,departure_classification_reason,needs_departure_enrichment,departure_is_definitive,returned_to_game,first_exit_order,second_exit_order,returned_after_medical_replacement,same_day_exit_group,exit_order_ambiguity,exit_order_review_required,analysis_exit_order,analysis_exit_rule,all_cause_exit_event,censored_at_end,source_row_number,scraped_at
KL12,Koh-Lanta : Viêtnam,2010,https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,Frédérique Brugiroux,,45,,1st Voted Out Day 3,1,0.0,Day 3,1st Voted Out Day 3,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out: élimination par conseil,False,True,False,1,,False,,False,False,1,STANDARD,1,False,1,2026-07-21T00:04:26.676318+00:00
KL12,Koh-Lanta : Viêtnam,2010,https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,Vivien Escouflaire,,20,,2nd Voted Out Day 6,2,0.05,Day 6,2nd Voted Out Day 6,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out: élimination par conseil,False,True,False,2,,False,,False,False,2,STANDARD,1,False,2,2026-07-21T00:04:26.676318+00:00
KL12,Koh-Lanta : Viêtnam,2010,https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,Virginie Mercadal Pioli Returned to Game,,,,3rd Voted Out Day 9,3,0.1,Day 9,3rd Voted Out Day 9,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out: élimination par conseil,False,True,False,3,,False,,False,False,3,STANDARD,1,False,3,2026-07-21T00:04:26.676318+00:00
KL12,Koh-Lanta : Viêtnam,2010,https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,Alain Merdel,,47,,Medically evacuated Day 10,4,0.15,Day 10,Medically evacuated Day 10,ABANDON_MEDICAL,SANTE_ABANDON,AUTRE_SORTIE,Évacuation médicale,False,True,False,4,,False,,False,False,4,STANDARD,1,False,4,2026-07-21T00:04:26.676318+00:00
KL12,Koh-Lanta : Viêtnam,2010,https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,Virginie Mercadal Pioli,,38,,4th Voted Out Day 12,5,0.2,Day 12,4th Voted Out Day 12,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out: élimination par conseil,False,True,False,5,,False,,False,False,5,STANDARD,1,False,5,2026-07-21T00:04:26.676318+00:00
KL12,Koh-Lanta : Viêtnam,2010,https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,Marine Plissonneau Returned to Game,,,,5th Voted Out Day 15,6,0.25,Day 15,5th Voted Out Day 15,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out: élimination par conseil,False,True,False,6,,False,Day 15,True,True,6,STANDARD,1,False,6,2026-07-21T00:04:26.676318+00:00
KL12,Koh-Lanta : Viêtnam,2010,https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,Jennifer Lieutaud,,23,,Left Competition Day 15,7,0.3,Day 15,Left Competition Day 15,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Left Competition: ambigu,True,True,False,7,,False,Day 15,True,True,7,STANDARD,1,False,7,2026-07-21T00:04:26.676318+00:00
KL12,Koh-Lanta : Viêtnam,2010,https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,Jean-Pierre Pigato,,48,,6th Voted Out Day 17,8,0.35,Day 17,6th Voted Out Day 17,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out: élimination par conseil,False,True,False,8,,False,,False,False,8,STANDARD,1,False,8,2026-07-21T00:04:26.676318+00:00
KL12,Koh-Lanta : Viêtnam,2010,https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,Audrey Perez,,25,,7th Voted Out Day 20,9,0.4,Day 20,7th Voted Out Day 20,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out: élimination par conseil,False,True,False,9,,False,,False,False,9,STANDARD,1,False,9,2026-07-21T00:04:26.676318+00:00
KL12,Koh-Lanta : Viêtnam,2010,https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,Boris Deltell,,30,,8th Voted Out Day 22,10,0.45,Day 22,8th Voted Out Day 22,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out: élimination par conseil,False,True,False,10,,False,,False,False,10,STANDARD,1,False,10,2026-07-21T00:04:26.676318+00:00
