season_name,candidate_name,interval_start_day,interval_end_day,presence_status,active_in_main_game,interval_reason,source_url,review_status
Koh-Lanta : Cambodge,Dylan Thiry,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Cambodge,Sabine Ollivier,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Cambodge,Hada Ghoulam,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Cambodge,Franck Schlienger,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Cambodge,Félicie Greugny,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Cambodge,Brahma Sadeyen,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Cambodge,Kelly Beaugrand Returned to Game,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Cambodge,Bastien Muñez,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Cambodge,Maria Beccaris,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Cambodge,Yves Rey,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Cambodge,Yassin Metiri,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Cambodge,Vincent Roux Returned to Game,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Cambodge,Manuella Baudet,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Cambodge,Sandro Gonzalez Schena,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Cambodge,Marjorie Rousseeuw,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Cambodge,Corentin Albertini,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Cambodge,Kelly Beaugrand,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Cambodge,Claire Pradayrol,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Cambodge,Sébastien Gottiniaux,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Cambodge,Mathilde Chevalier,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Cambodge,Vincent Roux,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Cambodge,Clémentine Jullien,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Cambodge,Frédéric Blancher,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : La Guerre des Chefs,Aliséa,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : La Guerre des Chefs,Carinne,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : La Guerre des Chefs,Émilie,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : La Guerre des Chefs,Victor,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : La Guerre des Chefs,Chloé,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : La Guerre des Chefs,Xavier,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : La Guerre des Chefs,Frédéric,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : La Guerre des Chefs,Alexandre,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : La Guerre des Chefs,Béatrice,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : La Guerre des Chefs,Brice,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : La Guerre des Chefs,Sophie,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : La Guerre des Chefs,Angélique,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : La Guerre des Chefs,Mohamed,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : La Guerre des Chefs,Nicolas,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : La Guerre des Chefs,Maxime,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : La Guerre des Chefs,Cyril,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : La Guerre des Chefs,Clo,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : La Guerre des Chefs,Aurélien,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : La Guerre des Chefs,Steeve,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : La Guerre des Chefs,Cindy,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : La Guerre des Chefs,Maud,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,"Céline ""Lili"" Gasnier",1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Céline Dufrenoy,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Franck Macia,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Mattéo Real,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Samira Aït-Brahim,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Benjamin Breerette,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Stéphanie Tribot Returned to Game,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Jean-Philippe Masy,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Stéphanie Tribot,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Alexandra Élizé,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Setha El Hajjami,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Colin Mottas,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Pauline Pourchaire,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Yannick Zachée,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Anne-Sophie Mounier,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Maxime Tournoux,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Louana Roy,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Fouzi Ould Bouamama,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Nicolas Bellon,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Olga Khokhlova,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Ambre Daudet,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Jean-Charles Chatelus,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Géraldine Nicolle,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Bastien San Pedro,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,François Descamp,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,François,1,,STANDARD,True,Présence standard,,VALIDATED
