season_id,season_name,season_year,season_url,candidate_name,gender_raw,age_raw,profession_raw,final_position_raw,final_exit_order,final_exit_order_normalized,departure_day_raw,departure_description_raw,departure_type_normalized,departure_category,departure_model_category,departure_classification_reason,needs_departure_enrichment,departure_is_definitive,returned_to_game,first_exit_order,second_exit_order,returned_after_medical_replacement,same_day_exit_group,exit_order_ambiguity,exit_order_review_required,analysis_exit_order,analysis_exit_rule,all_cause_exit_event,censored_at_end,source_row_number,scraped_at
KL21,Koh-Lanta : Cambodge,2018,https://en.wikipedia.org/wiki/Koh-Lanta:_Cambodge,Dylan Thiry,,22,,1st Voted Out Day 3,1,0.0,Day 3,1st Voted Out Day 3,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out: élimination par conseil,False,True,False,1,,False,,False,False,1,STANDARD,1,False,1,2026-07-21T01:21:31.996993+00:00
KL21,Koh-Lanta : Cambodge,2018,https://en.wikipedia.org/wiki/Koh-Lanta:_Cambodge,Sabine Ollivier,,53,,2nd Voted Out Day 6,2,0.045455,Day 6,2nd Voted Out Day 6,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out: élimination par conseil,False,True,False,2,,False,,False,False,2,STANDARD,1,False,2,2026-07-21T01:21:31.996993+00:00
KL21,Koh-Lanta : Cambodge,2018,https://en.wikipedia.org/wiki/Koh-Lanta:_Cambodge,Hada Ghoulam,,31,,3rd Voted Out Day 9,3,0.090909,Day 9,3rd Voted Out Day 9,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out: élimination par conseil,False,True,False,3,,False,,False,False,3,STANDARD,1,False,3,2026-07-21T01:21:31.996993+00:00
KL21,Koh-Lanta : Cambodge,2018,https://en.wikipedia.org/wiki/Koh-Lanta:_Cambodge,Franck Schlienger,,50,,4th Voted Out Day 12,4,0.136364,Day 12,4th Voted Out Day 12,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out: élimination par conseil,False,True,False,4,,False,,False,False,4,STANDARD,1,False,4,2026-07-21T01:21:31.996993+00:00
KL21,Koh-Lanta : Cambodge,2018,https://en.wikipedia.org/wiki/Koh-Lanta:_Cambodge,Félicie Greugny,,27,,5th Voted Out Day 15,5,0.181818,Day 15,5th Voted Out Day 15,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out: élimination par conseil,False,True,False,5,,False,,False,False,5,STANDARD,1,False,5,2026-07-21T01:21:31.996993+00:00
KL21,Koh-Lanta : Cambodge,2018,https://en.wikipedia.org/wiki/Koh-Lanta:_Cambodge,Brahma Sadeyen,,26,,Left Competition Day 16,6,0.227273,Day 16,Left Competition Day 16,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Left Competition: ambigu,True,True,False,6,,False,,False,False,6,STANDARD,1,False,6,2026-07-21T01:21:31.996993+00:00
KL21,Koh-Lanta : Cambodge,2018,https://en.wikipedia.org/wiki/Koh-Lanta:_Cambodge,Kelly Beaugrand Returned to Game,,,,6th Voted Out Day 18,7,0.272727,Day 18,6th Voted Out Day 18,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out: élimination par conseil,False,True,False,7,,False,Day 18,True,True,7,STANDARD,1,False,7,2026-07-21T01:21:31.996993+00:00
KL21,Koh-Lanta : Cambodge,2018,https://en.wikipedia.org/wiki/Koh-Lanta:_Cambodge,Bastien Muñez,,23,,Medically evacuated Day 18,8,0.318182,Day 18,Medically evacuated Day 18,ABANDON_MEDICAL,SANTE_ABANDON,AUTRE_SORTIE,Évacuation médicale,False,True,False,8,,False,Day 18,True,True,8,STANDARD,1,False,8,2026-07-21T01:21:31.996993+00:00
KL21,Koh-Lanta : Cambodge,2018,https://en.wikipedia.org/wiki/Koh-Lanta:_Cambodge,Maria Beccaris,,29,,Lost Challenge Day 19,9,0.363636,Day 19,Lost Challenge Day 19,EPREUVE_ELIMINATOIRE,EPREUVE,EPREUVE,Lost Challenge: épreuve éliminatoire,False,True,False,9,,False,,False,False,9,STANDARD,1,False,9,2026-07-21T01:21:31.996993+00:00
KL21,Koh-Lanta : Cambodge,2018,https://en.wikipedia.org/wiki/Koh-Lanta:_Cambodge,Yves Rey,,49,,7th Voted Out Day 20,10,0.409091,Day 20,7th Voted Out Day 20,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out: élimination par conseil,False,True,False,10,,False,,False,False,10,STANDARD,1,False,10,2026-07-21T01:21:31.996993+00:00
