season_id,season_name,season_year,season_url,candidate_name,gender_raw,age_raw,profession_raw,final_position_raw,final_exit_order,final_exit_order_normalized,departure_day_raw,departure_description_raw,departure_type_normalized,departure_category,departure_model_category,departure_classification_reason,needs_departure_enrichment,departure_is_definitive,returned_to_game,first_exit_order,second_exit_order,returned_after_medical_replacement,same_day_exit_group,exit_order_ambiguity,exit_order_review_required,analysis_exit_order,analysis_exit_rule,all_cause_exit_event,censored_at_end,source_row_number,scraped_at
KL32,Koh-Lanta : Les 4 Terres,2020,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_4_Terres,François,M,47 ans,Négociant en matériaux,"Abandon médical [ 17 ] [source secondaire souhaitée] , [ 18 ] [source secondaire souhaitée] , [ 19 ] [source secondaire souhaitée] , [ 20 ]",1,0.0,,"Abandon médical [ 17 ] [source secondaire souhaitée] , [ 18 ] [source secondaire souhaitée] , [ 19 ] [source secondaire souhaitée] , [ 20 ]",ABANDON_MEDICAL,SANTE_ABANDON,AUTRE_SORTIE,Abandon médical dans la source,False,True,False,1,,False,,False,False,1,STANDARD,1,False,1,2026-07-21T01:21:38.827301+00:00
KL32,Koh-Lanta : Les 4 Terres,2020,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_4_Terres,Carole,F,52 ans,En recherche d'emploi,"Éliminée [ 21 ] [source secondaire souhaitée] , [ 22 ] [source secondaire souhaitée] , [ 23 ] [source secondaire souhaitée] , [ 20 ]",2,0.043478,,"Éliminée [ 21 ] [source secondaire souhaitée] , [ 22 ] [source secondaire souhaitée] , [ 23 ] [source secondaire souhaitée] , [ 20 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,2,,False,,False,False,2,STANDARD,1,False,2,2026-07-21T01:21:38.827301+00:00
KL32,Koh-Lanta : Les 4 Terres,2020,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_4_Terres,Samuel,M,39 ans,Coach mental,"Abandon médical [ 24 ] [source secondaire souhaitée] , [ 25 ] [source secondaire souhaitée] , [ 26 ] [source secondaire souhaitée]",3,0.086957,,"Abandon médical [ 24 ] [source secondaire souhaitée] , [ 25 ] [source secondaire souhaitée] , [ 26 ] [source secondaire souhaitée]",ABANDON_MEDICAL,SANTE_ABANDON,AUTRE_SORTIE,Abandon médical dans la source,False,True,False,3,,False,,False,False,3,STANDARD,1,False,3,2026-07-21T01:21:38.827301+00:00
KL32,Koh-Lanta : Les 4 Terres,2020,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_4_Terres,Diane,F,25 ans,Agent immobilier,"Éliminée [ 27 ] [source secondaire souhaitée] , [ 28 ] [source secondaire souhaitée] , [ 29 ] [source secondaire souhaitée] , [ 30 ]",4,0.130435,,"Éliminée [ 27 ] [source secondaire souhaitée] , [ 28 ] [source secondaire souhaitée] , [ 29 ] [source secondaire souhaitée] , [ 30 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,4,,False,,False,False,4,STANDARD,1,False,4,2026-07-21T01:21:38.827301+00:00
KL32,Koh-Lanta : Les 4 Terres,2020,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_4_Terres,Estelle,F,47 ans,Conseillère en insertion professionnelle,"Éliminée [ 31 ] [source secondaire souhaitée] , [ 32 ] [source secondaire souhaitée] , [ 33 ] [source secondaire souhaitée] , [ 30 ]",5,0.173913,,"Éliminée [ 31 ] [source secondaire souhaitée] , [ 32 ] [source secondaire souhaitée] , [ 33 ] [source secondaire souhaitée] , [ 30 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,5,,False,,False,False,5,STANDARD,1,False,5,2026-07-21T01:21:38.827301+00:00
KL32,Koh-Lanta : Les 4 Terres,2020,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_4_Terres,Mathieu,M,31 ans,Coureur professionnel,"Éliminé [ 34 ] [source secondaire souhaitée] , [ 35 ] [source secondaire souhaitée] , [ 36 ] [source secondaire souhaitée] , [ 37 ] [source secondaire souhaitée]",6,0.217391,,"Éliminé [ 34 ] [source secondaire souhaitée] , [ 35 ] [source secondaire souhaitée] , [ 36 ] [source secondaire souhaitée] , [ 37 ] [source secondaire souhaitée]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,6,,False,,False,False,6,STANDARD,1,False,6,2026-07-21T01:21:38.827301+00:00
KL32,Koh-Lanta : Les 4 Terres,2020,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_4_Terres,Adrien,M,30 ans,Ingénieur ferroviaire,"Éliminé [ 38 ] [source secondaire souhaitée] , [ 39 ] [source secondaire souhaitée] , [ 40 ] [source secondaire souhaitée] , [ 41 ]",7,0.26087,,"Éliminé [ 38 ] [source secondaire souhaitée] , [ 39 ] [source secondaire souhaitée] , [ 40 ] [source secondaire souhaitée] , [ 41 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,7,,False,,False,False,7,STANDARD,1,False,7,2026-07-21T01:21:38.827301+00:00
KL32,Koh-Lanta : Les 4 Terres,2020,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_4_Terres,Aubin,M,23 ans,Agent immobilier,"Éliminé [ 42 ] [source secondaire souhaitée] , [ 43 ] [source secondaire souhaitée] , [ 44 ] [source secondaire souhaitée] , [ 45 ] [source secondaire souhaitée]",8,0.304348,,"Éliminé [ 42 ] [source secondaire souhaitée] , [ 43 ] [source secondaire souhaitée] , [ 44 ] [source secondaire souhaitée] , [ 45 ] [source secondaire souhaitée]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,8,,False,,False,False,8,STANDARD,1,False,8,2026-07-21T01:21:38.827301+00:00
KL32,Koh-Lanta : Les 4 Terres,2020,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_4_Terres,Sébastien,M,37 ans,Agent municipal,"Éliminé [ 46 ] [source secondaire souhaitée] , [ 47 ] [source secondaire souhaitée] , [ 48 ] [source secondaire souhaitée] , [ 49 ] [source secondaire souhaitée]",9,0.347826,,"Éliminé [ 46 ] [source secondaire souhaitée] , [ 47 ] [source secondaire souhaitée] , [ 48 ] [source secondaire souhaitée] , [ 49 ] [source secondaire souhaitée]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,9,,False,,False,False,9,STANDARD,1,False,9,2026-07-21T01:21:38.827301+00:00
KL32,Koh-Lanta : Les 4 Terres,2020,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_4_Terres,Marie-France,F,49 ans,Bouchère,"Éliminée [ 50 ] [source secondaire souhaitée] , [ 51 ] [source secondaire souhaitée] , [ 52 ] [source secondaire souhaitée]",10,0.391304,,"Éliminée [ 50 ] [source secondaire souhaitée] , [ 51 ] [source secondaire souhaitée] , [ 52 ] [source secondaire souhaitée]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,10,,False,,False,False,10,STANDARD,1,False,10,2026-07-21T01:21:38.827301+00:00
