season_id,season_name,season_year,season_url,candidate_name,gender_raw,age_raw,profession_raw,final_position_raw,final_exit_order,final_exit_order_normalized,departure_day_raw,departure_description_raw,departure_type_normalized,departure_category,departure_model_category,departure_classification_reason,needs_departure_enrichment,departure_is_definitive,returned_to_game,first_exit_order,second_exit_order,returned_after_medical_replacement,same_day_exit_group,exit_order_ambiguity,exit_order_review_required,analysis_exit_order,analysis_exit_rule,all_cause_exit_event,censored_at_end,source_row_number,scraped_at
KL17,Koh-Lanta : Johor,2015,https://en.wikipedia.org/wiki/Koh-Lanta:_Johor,Babeth Delettre,,52,,1st Voted Out Day 3,1,0.0,,1st Voted Out Day 3,CONSEIL,INDETERMINE,DECISION_AVENTURIERS,Source: https://en.wikipedia.org/wiki/Koh-Lanta:_Johor,False,True,False,1,,False,,False,False,1,STANDARD,1,False,1,2026-07-21T02:14:09.071230
KL17,Koh-Lanta : Johor,2015,https://en.wikipedia.org/wiki/Koh-Lanta:_Johor,Marie-Anne Queniart,,38,,2nd Voted Out Day 6,2,0.052632,,2nd Voted Out Day 6,CONSEIL,INDETERMINE,DECISION_AVENTURIERS,Source: https://en.wikipedia.org/wiki/Koh-Lanta:_Johor,False,True,False,2,,False,,False,False,2,STANDARD,1,False,2,2026-07-21T02:14:09.071230
KL17,Koh-Lanta : Johor,2015,https://en.wikipedia.org/wiki/Koh-Lanta:_Johor,Benoît Jorion-Fahy,,27,,3rd Voted Out Day 9,3,0.105263,,3rd Voted Out Day 9,CONSEIL,INDETERMINE,DECISION_AVENTURIERS,Source: https://en.wikipedia.org/wiki/Koh-Lanta:_Johor,False,True,False,3,,False,,False,False,3,STANDARD,1,False,3,2026-07-21T02:14:09.071230
KL17,Koh-Lanta : Johor,2015,https://en.wikipedia.org/wiki/Koh-Lanta:_Johor,Manon Allender,,24,,Left Competition Day 12,4,0.157895,,Left Competition Day 12,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Source: https://en.wikipedia.org/wiki/Koh-Lanta:_Johor,True,True,False,4,,False,,False,False,4,STANDARD,1,False,4,2026-07-21T02:14:09.071230
KL17,Koh-Lanta : Johor,2015,https://en.wikipedia.org/wiki/Koh-Lanta:_Johor,Loïc Crespin,,20,,Medically evacuated Day 13,5,0.210526,,Medically evacuated Day 13,ABANDON_MEDICAL,INDETERMINE,AUTRE_SORTIE,Source: https://en.wikipedia.org/wiki/Koh-Lanta:_Johor,False,True,False,5,,False,,False,False,5,STANDARD,1,False,5,2026-07-21T02:14:09.071230
KL17,Koh-Lanta : Johor,2015,https://en.wikipedia.org/wiki/Koh-Lanta:_Johor,Isabelle Haouzi,,54,,5th Voted Out Day 15,6,0.263158,,5th Voted Out Day 15,CONSEIL,INDETERMINE,DECISION_AVENTURIERS,Source: https://en.wikipedia.org/wiki/Koh-Lanta:_Johor,False,True,False,6,,False,,False,False,6,STANDARD,1,False,6,2026-07-21T02:14:09.071230
KL17,Koh-Lanta : Johor,2015,https://en.wikipedia.org/wiki/Koh-Lanta:_Johor,Margot Perrot Houwaer,,22,,Medically evacuated Day 19,7,0.315789,,Medically evacuated Day 19,ABANDON_MEDICAL,INDETERMINE,AUTRE_SORTIE,Source: https://en.wikipedia.org/wiki/Koh-Lanta:_Johor,False,True,False,7,,False,,False,False,7,STANDARD,1,False,7,2026-07-21T02:14:09.071230
KL17,Koh-Lanta : Johor,2015,https://en.wikipedia.org/wiki/Koh-Lanta:_Johor,Alban Pellegrin,,28,,7th Voted Out 1st jury member Day 19,8,0.368421,,7th Voted Out 1st jury member Day 19,CONSEIL,INDETERMINE,DECISION_AVENTURIERS,Source: https://en.wikipedia.org/wiki/Koh-Lanta:_Johor,False,True,False,8,,False,,False,False,8,STANDARD,1,False,8,2026-07-21T02:14:09.071230
KL17,Koh-Lanta : Johor,2015,https://en.wikipedia.org/wiki/Koh-Lanta:_Johor,Corinne Bargoin Samuelian,,45,,Medically evacuated 2nd jury member Day 21,9,0.421053,,Medically evacuated 2nd jury member Day 21,ABANDON_MEDICAL,INDETERMINE,AUTRE_SORTIE,Source: https://en.wikipedia.org/wiki/Koh-Lanta:_Johor,False,True,False,9,,False,,False,False,9,STANDARD,1,False,9,2026-07-21T02:14:09.071230
KL17,Koh-Lanta : Johor,2015,https://en.wikipedia.org/wiki/Koh-Lanta:_Johor,Cédric Giosserand-Lucas,,36,,9th Voted Out 3rd jury member Day 23,10,0.473684,,9th Voted Out 3rd jury member Day 23,CONSEIL,INDETERMINE,DECISION_AVENTURIERS,Source: https://en.wikipedia.org/wiki/Koh-Lanta:_Johor,False,True,False,10,,False,,False,False,10,STANDARD,1,False,10,2026-07-21T02:14:09.071230
