season_id,season_name,season_year,season_url,candidate_name,gender_raw,age_raw,profession_raw,final_position_raw,final_exit_order,final_exit_order_normalized,departure_day_raw,departure_description_raw,departure_type_normalized,departure_category,departure_model_category,departure_classification_reason,needs_departure_enrichment,departure_is_definitive,returned_to_game,first_exit_order,second_exit_order,returned_after_medical_replacement,same_day_exit_group,exit_order_ambiguity,exit_order_review_required,analysis_exit_order,analysis_exit_rule,all_cause_exit_event,censored_at_end,source_row_number,scraped_at
KL29,Koh-Lanta : La Revanche des 4 Terres,2025,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,Cynthiana,F,39 ans,Agent immobilier,"Éliminée [ 6 ] , [ 7 ] , [ 8 ]",1,0.0,,"Éliminée [ 6 ] , [ 7 ] , [ 8 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,1,,False,,False,False,1,STANDARD,1,False,1,2026-07-21T02:53:46.576248+00:00
KL29,Koh-Lanta : La Revanche des 4 Terres,2025,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,Allan,M,25 ans,Docker,"Abandon médical [ 9 ] , [ 10 ] , [ 11 ]",2,0.043478,,"Abandon médical [ 9 ] , [ 10 ] , [ 11 ]",ABANDON_MEDICAL,SANTE_ABANDON,AUTRE_SORTIE,Abandon médical dans la source,False,True,False,2,,False,,False,False,2,STANDARD,1,False,2,2026-07-21T02:53:46.576248+00:00
KL29,Koh-Lanta : La Revanche des 4 Terres,2025,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,Christian,M,63 ans,Brocanteur,"Éliminé [ 12 ] , [ 13 ] , [ 14 ]",3,0.086957,,"Éliminé [ 12 ] , [ 13 ] , [ 14 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,3,,False,,False,False,3,STANDARD,1,False,3,2026-07-21T02:53:46.576248+00:00
KL29,Koh-Lanta : La Revanche des 4 Terres,2025,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,Romane,F,20 ans,Coach sportive,"Éliminée [ 15 ] , [ 16 ] , [ 17 ]",4,0.130435,,"Éliminée [ 15 ] , [ 16 ] , [ 17 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,4,,False,,False,False,4,STANDARD,1,False,4,2026-07-21T02:53:46.576248+00:00
KL29,Koh-Lanta : La Revanche des 4 Terres,2025,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,Mehdi,M,27 ans,Chauffeur poids lourds,"Abandon volontaire [ 18 ] , [ 19 ] , [ 20 ]",5,0.173913,,"Abandon volontaire [ 18 ] , [ 19 ] , [ 20 ]",ABANDON_VOLONTAIRE,SANTE_ABANDON,AUTRE_SORTIE,Abandon volontaire dans la source,False,True,False,5,,False,,False,False,5,STANDARD,1,False,5,2026-07-21T02:53:46.576248+00:00
KL29,Koh-Lanta : La Revanche des 4 Terres,2025,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,Benoît,M,24 ans,Athlète en saut à la perche,"Éliminé [ 21 ] , [ 22 ] , [ 23 ]",6,0.217391,,"Éliminé [ 21 ] , [ 22 ] , [ 23 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,6,,False,,False,False,6,STANDARD,1,False,6,2026-07-21T02:53:46.576248+00:00
KL29,Koh-Lanta : La Revanche des 4 Terres,2025,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,Mohamed,M,30 ans,Éducateur sportif,"Éliminé [ 24 ] , [ 25 ] , [ 26 ]",7,0.26087,,"Éliminé [ 24 ] , [ 25 ] , [ 26 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,7,,False,,False,False,7,STANDARD,1,False,7,2026-07-21T02:53:46.576248+00:00
KL29,Koh-Lanta : La Revanche des 4 Terres,2025,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,Pauline,F,39 ans,Maître-nageuse,"Éliminée [ 27 ] , [ 28 ] , [ 29 ]",8,0.304348,,"Éliminée [ 27 ] , [ 28 ] , [ 29 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,8,,False,,False,False,8,STANDARD,1,False,8,2026-07-21T02:53:46.576248+00:00
KL29,Koh-Lanta : La Revanche des 4 Terres,2025,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,Andréa,F,24 ans,Étudiante,"Éliminée [ 30 ] , [ 31 ] , [ 32 ]",9,0.347826,,"Éliminée [ 30 ] , [ 31 ] , [ 32 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,9,,False,,False,False,9,STANDARD,1,False,9,2026-07-21T02:53:46.576248+00:00
KL29,Koh-Lanta : La Revanche des 4 Terres,2025,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,Adrien,M,23 ans,Ingénieur,"Éliminé [ 33 ] , [ 34 ] , [ 35 ]",10,0.391304,,"Éliminé [ 33 ] , [ 34 ] , [ 35 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,10,,False,,False,False,10,STANDARD,1,False,10,2026-07-21T02:53:46.576248+00:00
