season_id,season_name,season_year,season_url,candidate_name,gender_raw,age_raw,profession_raw,final_position_raw,final_exit_order,final_exit_order_normalized,departure_day_raw,departure_description_raw,departure_type_normalized,departure_category,departure_model_category,departure_classification_reason,needs_departure_enrichment,departure_is_definitive,returned_to_game,first_exit_order,second_exit_order,returned_after_medical_replacement,same_day_exit_group,exit_order_ambiguity,exit_order_review_required,analysis_exit_order,analysis_exit_rule,all_cause_exit_event,censored_at_end,source_row_number,scraped_at
KL02,KL KL02,2002,https://en.wikipedia.org/wiki/Koh-Lanta:_Nicoya,Xavier,,,Tambor,INDETERMINE,1,0.0,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Extrait du tableau des votes Wikipedia,True,True,False,1,,False,,False,False,1,STANDARD,1,False,1,2026-07-21T01:58:30.948916
KL02,KL KL02,2002,https://en.wikipedia.org/wiki/Koh-Lanta:_Nicoya,Caroline Mercier,,29,Mornant,INDETERMINE,2,0.066667,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Extrait du tableau des votes Wikipedia,True,True,False,2,,False,,False,False,2,STANDARD,1,False,2,2026-07-21T01:58:30.948916
KL02,KL KL02,2002,https://en.wikipedia.org/wiki/Koh-Lanta:_Nicoya,Céline Genty,,28,Paris,INDETERMINE,3,0.133333,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Extrait du tableau des votes Wikipedia,True,True,False,3,,False,,False,False,3,STANDARD,1,False,3,2026-07-21T01:58:30.948916
KL02,KL KL02,2002,https://en.wikipedia.org/wiki/Koh-Lanta:_Nicoya,Nelly,,22,Toulouse,INDETERMINE,4,0.2,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Extrait du tableau des votes Wikipedia,True,True,False,4,,False,,False,False,4,STANDARD,1,False,4,2026-07-21T01:58:30.948916
KL02,KL KL02,2002,https://en.wikipedia.org/wiki/Koh-Lanta:_Nicoya,Pierre,,24,Bordeaux,INDETERMINE,5,0.266667,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Extrait du tableau des votes Wikipedia,True,True,False,5,,False,,False,False,5,STANDARD,1,False,5,2026-07-21T01:58:30.948916
KL02,KL KL02,2002,https://en.wikipedia.org/wiki/Koh-Lanta:_Nicoya,Jacky,,51,Brignoles,INDETERMINE,6,0.333333,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Extrait du tableau des votes Wikipedia,True,True,False,6,,False,,False,False,6,STANDARD,1,False,6,2026-07-21T01:58:30.948916
KL02,KL KL02,2002,https://en.wikipedia.org/wiki/Koh-Lanta:_Nicoya,Adonis,,29,Lille,INDETERMINE,7,0.4,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Extrait du tableau des votes Wikipedia,True,True,False,7,,False,,False,False,7,STANDARD,1,False,7,2026-07-21T01:58:30.948916
KL02,KL KL02,2002,https://en.wikipedia.org/wiki/Koh-Lanta:_Nicoya,Jimmy,,33,Noisy-le-Grand,INDETERMINE,8,0.466667,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Extrait du tableau des votes Wikipedia,True,True,False,8,,False,,False,False,8,STANDARD,1,False,8,2026-07-21T01:58:30.948916
KL02,KL KL02,2002,https://en.wikipedia.org/wiki/Koh-Lanta:_Nicoya,Béatrice,,22,Paris,INDETERMINE,9,0.533333,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Extrait du tableau des votes Wikipedia,True,True,False,9,,False,,False,False,9,STANDARD,1,False,9,2026-07-21T01:58:30.948916
KL02,KL KL02,2002,https://en.wikipedia.org/wiki/Koh-Lanta:_Nicoya,François-Xavier,,35,Bandol,INDETERMINE,10,0.6,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Extrait du tableau des votes Wikipedia,True,True,False,10,,False,,False,False,10,STANDARD,1,False,10,2026-07-21T01:58:30.948916
KL02,KL KL02,2002,https://en.wikipedia.org/wiki/Koh-Lanta:_Nicoya,Isabelle,,25,Rueil-Malmaison,INDETERMINE,11,0.666667,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Extrait du tableau des votes Wikipedia,True,True,False,11,,False,,False,False,11,STANDARD,1,False,11,2026-07-21T01:58:30.948916
KL02,KL KL02,2002,https://en.wikipedia.org/wiki/Koh-Lanta:_Nicoya,Maud,,36,Nice,INDETERMINE,12,0.733333,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Extrait du tableau des votes Wikipedia,True,True,False,12,,False,,False,False,12,STANDARD,1,False,12,2026-07-21T01:58:30.948916
KL02,KL KL02,2002,https://en.wikipedia.org/wiki/Koh-Lanta:_Nicoya,Marianne,,25,Nantes,INDETERMINE,13,0.8,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Extrait du tableau des votes Wikipedia,True,True,False,13,,False,,False,False,13,STANDARD,1,False,13,2026-07-21T01:58:30.948916
KL02,KL KL02,2002,https://en.wikipedia.org/wiki/Koh-Lanta:_Nicoya,Bernard,,34,Mauléon-Licharre,INDETERMINE,14,0.866667,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Extrait du tableau des votes Wikipedia,True,True,False,14,,False,,False,False,14,STANDARD,1,False,14,2026-07-21T01:58:30.948916
KL02,KL KL02,2002,https://en.wikipedia.org/wiki/Koh-Lanta:_Nicoya,Nicolas Roy,,47,Lyon,FINALISTE,15,0.933333,,FINALISTE,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Extrait du tableau des votes Wikipedia,False,True,False,15,,False,,False,False,15,STANDARD,1,False,15,2026-07-21T01:58:30.948916
KL02,KL KL02,2002,https://en.wikipedia.org/wiki/Koh-Lanta:_Nicoya,Amel Fatnassi,,29,Bressuire,VAINQUEUR,16,1.0,,VAINQUEUR,VAINQUEUR,FIN_DE_JEU,AUTRE_SORTIE,Extrait du tableau des votes Wikipedia,False,True,False,16,,False,,False,False,16,STANDARD,0,True,16,2026-07-21T01:58:30.948916
