season_name,season_year,season_url,candidate_name,gender_raw,age_raw,profession_raw,final_position_raw,final_exit_order,final_exit_order_normalized,departure_day_raw,same_day_exit_group,departure_description_raw,departure_type_normalized,departure_category,departure_model_category,departure_classification_reason,needs_departure_enrichment,departure_is_definitive,had_temporary_elimination,returned_to_game,first_exit_order,first_exit_type,first_exit_model_category,first_exit_description,final_exit_type,final_exit_model_category,final_exit_description,model_exit_order,model_exit_type,model_exit_category,physical_score,physical_score_justification,physical_score_sources,source_row_number,scraped_at
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Charlie Vincent-Mussard,,28,,Left Competition Day 3,1,0.0,Day 3,Day 3,Left Competition Day 3,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Left Competition est ambigu : recherche complémentaire nécessaire (abandon volontaire ou médical non précisé),True,True,False,False,1,INDETERMINE,AUTRE_SORTIE,Left Competition Day 3,INDETERMINE,AUTRE_SORTIE,Left Competition Day 3,1,INDETERMINE,AUTRE_SORTIE,,,,1,2026-07-19T16:27:48.672159+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Laurence Corbellotti,,37,,1st Voted Out Day 3,2,0.05,Day 3,Day 3,1st Voted Out Day 3,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,2,CONSEIL,DECISION_AVENTURIERS,1st Voted Out Day 3,CONSEIL,DECISION_AVENTURIERS,1st Voted Out Day 3,2,CONSEIL,DECISION_AVENTURIERS,,,,2,2026-07-19T16:27:48.672159+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Marius Torterat,,21,,Left Competition Day 6,3,0.1,Day 6,Day 6,Left Competition Day 6,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Left Competition est ambigu : recherche complémentaire nécessaire (abandon volontaire ou médical non précisé),True,True,False,False,3,INDETERMINE,AUTRE_SORTIE,Left Competition Day 6,INDETERMINE,AUTRE_SORTIE,Left Competition Day 6,3,INDETERMINE,AUTRE_SORTIE,,,,3,2026-07-19T16:27:48.672159+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Céline Parat-Yeghiayan,,44,,2nd Voted Out Day 6,4,0.15,Day 6,Day 6,2nd Voted Out Day 6,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,4,CONSEIL,DECISION_AVENTURIERS,2nd Voted Out Day 6,CONSEIL,DECISION_AVENTURIERS,2nd Voted Out Day 6,4,CONSEIL,DECISION_AVENTURIERS,,,,4,2026-07-19T16:27:48.672159+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Huw Francis,,38,,3rd Voted Out Day 9,5,0.2,Day 9,,3rd Voted Out Day 9,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,5,CONSEIL,DECISION_AVENTURIERS,3rd Voted Out Day 9,CONSEIL,DECISION_AVENTURIERS,3rd Voted Out Day 9,5,CONSEIL,DECISION_AVENTURIERS,,,,5,2026-07-19T16:27:48.672159+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Carole Poncelet,,51,,4th Voted Out Day 12,6,0.25,Day 12,,4th Voted Out Day 12,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,6,CONSEIL,DECISION_AVENTURIERS,4th Voted Out Day 12,CONSEIL,DECISION_AVENTURIERS,4th Voted Out Day 12,6,CONSEIL,DECISION_AVENTURIERS,,,,6,2026-07-19T16:27:48.672159+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,"Laurence ""Lolo"" Facione",,45,,5th Voted Out Day 15,7,0.3,Day 15,,5th Voted Out Day 15,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,7,CONSEIL,DECISION_AVENTURIERS,5th Voted Out Day 15,CONSEIL,DECISION_AVENTURIERS,5th Voted Out Day 15,7,CONSEIL,DECISION_AVENTURIERS,,,,7,2026-07-19T16:27:48.672159+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Amir Doukhan,,46,,6th Voted Out Day 17,8,0.35,Day 17,,6th Voted Out Day 17,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,8,CONSEIL,DECISION_AVENTURIERS,6th Voted Out Day 17,CONSEIL,DECISION_AVENTURIERS,6th Voted Out Day 17,8,CONSEIL,DECISION_AVENTURIERS,,,,8,2026-07-19T16:27:48.672159+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Cassandre Girard,,22,,Lost Duel 1st jury member Day 19,9,0.4,Day 19,,Lost Duel 1st jury member Day 19,DUEL_EXIL_PERDU,MECANIQUE_RETOUR,EPREUVE,Lost Duel explicitement indiqué dans la source,False,True,False,False,9,DUEL_EXIL_PERDU,EPREUVE,Lost Duel 1st jury member Day 19,DUEL_EXIL_PERDU,EPREUVE,Lost Duel 1st jury member Day 19,9,DUEL_EXIL_PERDU,EPREUVE,,,,9,2026-07-19T16:27:48.672159+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Romain Palazzetti,,28,,7th Voted Out 2nd jury member Day 20,10,0.45,Day 20,,7th Voted Out 2nd jury member Day 20,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,10,CONSEIL,DECISION_AVENTURIERS,7th Voted Out 2nd jury member Day 20,CONSEIL,DECISION_AVENTURIERS,7th Voted Out 2nd jury member Day 20,10,CONSEIL,DECISION_AVENTURIERS,,,,10,2026-07-19T16:27:48.672159+00:00
