candidate_season_key,season_id,season_name,candidate_name,manual_physical_score
KL03::alexandra denikine,KL03,Koh-Lanta : Bocas del Toro,Alexandra Denikine,0
KL03::candice cohen,KL03,Koh-Lanta : Bocas del Toro,Candice Cohen,0
KL03::michel jeandel,KL03,Koh-Lanta : Bocas del Toro,Michel Jeandel,0
KL03::sophie guilloix,KL03,Koh-Lanta : Bocas del Toro,Sophie Guilloix,0
KL03::julie bourdon,KL03,Koh-Lanta : Bocas del Toro,Julie Bourdon,0
KL03::linda delamarre,KL03,Koh-Lanta : Bocas del Toro,Linda Delamarre,0
KL03::philippe huquet,KL03,Koh-Lanta : Bocas del Toro,Philippe Huquet,0
KL03::alexandre bérard,KL03,Koh-Lanta : Bocas del Toro,Alexandre Bérard,0
KL03::richard lecourt,KL03,Koh-Lanta : Bocas del Toro,Richard Lecourt,0
KL03::sylvie rivoal,KL03,Koh-Lanta : Bocas del Toro,Sylvie Rivoal,0
KL03::sébastien loew,KL03,Koh-Lanta : Bocas del Toro,Sébastien Loew,0
KL03::valérie dot,KL03,Koh-Lanta : Bocas del Toro,Valérie Dot,0
KL03::hélène patry,KL03,Koh-Lanta : Bocas del Toro,Hélène Patry,0
KL03::moundir zoughari,KL03,Koh-Lanta : Bocas del Toro,Moundir Zoughari,1
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,0
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,1
KL03::delphine bano,KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,0
KL03::isabelle seguin,KL03,Koh-Lanta : Bocas del Toro,Isabelle Seguin,0
KL08::valérie,KL08,KL KL08,Valérie,0
KL08::céga,KL08,KL KL08,Céga,0
KL08::irya,KL08,KL KL08,Irya,0
KL08::morgane,KL08,KL KL08,Morgane,0
KL08::jessica,KL08,KL KL08,Jessica,0
KL08::alain,KL08,KL KL08,Alain,1
