Phase,Libellé,Variable,Modalité,N au début de la phase,Éliminés durant la phase,Probabilité brute conditionnelle,Probabilité ajustée conditionnelle,p-value
1–5,"1–5
Premiers éliminés",Sexe,Homme,169,41,0.24260355029585798,0.2504693782573254,0.14168502473157238
1–5,"1–5
Premiers éliminés",Sexe,Femme,171,57,0.3333333333333333,0.323334225726761,
1–5,"1–5
Premiers éliminés",Profil physique,Profil physique,68,10,0.14705882352941177,0.17388535067036198,0.0387335078136348
1–5,"1–5
Premiers éliminés",Profil physique,Profil non physique,272,88,0.3235294117647059,0.31338656630121414,
1–5,"1–5
Premiers éliminés",Âge,18–25 ans,80,29,0.3625,0.36083143622420966,0.008637474680616616
1–5,"1–5
Premiers éliminés",Âge,26–33 ans,102,18,0.17647058823529413,0.1827942549470968,
1–5,"1–5
Premiers éliminés",Âge,34–41 ans,92,24,0.2608695652173913,0.25481778101283786,0.23832551712824956
1–5,"1–5
Premiers éliminés",Âge,42 ans et plus,66,27,0.4090909090909091,0.40332723667214926,0.0023654817988090124
6–10,"6–10
Deuxième phase",Sexe,Homme,128,44,0.34375,0.34766981317549256,0.6943806574581557
6–10,"6–10
Deuxième phase",Sexe,Femme,114,43,0.37719298245614036,0.37272198395276096,
6–10,"6–10
Deuxième phase",Profil physique,Profil physique,58,19,0.3275862068965517,0.35002912237890155,0.8721790906462332
6–10,"6–10
Deuxième phase",Profil physique,Profil non physique,184,68,0.3695652173913043,0.36239413261952735,
6–10,"6–10
Deuxième phase",Âge,18–25 ans,51,27,0.5294117647058824,0.5397215525579121,0.0005007575231796967
6–10,"6–10
Deuxième phase",Âge,26–33 ans,84,20,0.23809523809523808,0.229295007975785,
6–10,"6–10
Deuxième phase",Âge,34–41 ans,68,24,0.35294117647058826,0.3597064204066529,0.09230143777059019
6–10,"6–10
Deuxième phase",Âge,42 ans et plus,39,16,0.41025641025641024,0.4108151170620023,0.045155053223401236
11–15,"11–15
Troisième phase",Sexe,Homme,84,44,0.5238095238095238,0.5589383626202109,0.5462443258940942
11–15,"11–15
Troisième phase",Sexe,Femme,71,39,0.5492957746478874,0.50772600819967,
11–15,"11–15
Troisième phase",Profil physique,Profil physique,39,18,0.46153846153846156,0.43364943390549227,0.17565351750089575
11–15,"11–15
Troisième phase",Profil physique,Profil non physique,116,65,0.5603448275862069,0.5703247880700145,
11–15,"11–15
Troisième phase",Âge,18–25 ans,24,13,0.5416666666666666,0.5451925506761236,0.6848630052262268
11–15,"11–15
Troisième phase",Âge,26–33 ans,64,38,0.59375,0.5951848872227922,
11–15,"11–15
Troisième phase",Âge,34–41 ans,44,25,0.5681818181818182,0.5825987159688689,0.9011632776767468
11–15,"11–15
Troisième phase",Âge,42 ans et plus,23,7,0.30434782608695654,0.2749097526559184,0.012875850423890695
Phase finale,Phase finale,Sexe,Homme,40,31,0.775,0.7876026093630787,0.21364620893186725
Phase finale,Phase finale,Sexe,Femme,32,21,0.65625,0.6400266491032474,
Phase finale,Phase finale,Profil physique,Profil physique,21,14,0.6666666666666666,0.6155160131782517,0.25745564274389665
Phase finale,Phase finale,Profil physique,Profil non physique,51,38,0.7450980392156863,0.7647780313387672,
Phase finale,Phase finale,Âge,18–25 ans,11,9,0.8181818181818182,0.8598371978666299,0.21784181462148156
Phase finale,Phase finale,Âge,26–33 ans,26,17,0.6538461538461539,0.6518331335626518,
Phase finale,Phase finale,Âge,34–41 ans,19,12,0.631578947368421,0.6335043797794842,0.9058385127258551
Phase finale,Phase finale,Âge,42 ans et plus,16,14,0.875,0.8504054466449117,0.21462088372051236
